"V1","V2"
"E8.5_CPC_p2_194",-18.287684019438,-8.39925492916275
"E8.5_CPC_p2_077",48.1012078110484,2.37054516041403
"E8.5_CPC_p2_232",49.9661975540748,-0.771839256293505
"E8.5_CPC_p2_049",-20.4677589951412,-22.7886866896095
"E8.5_CPC_p2_027",-10.0480090196201,-21.5941179082354
"E8.5_CPC_p2_179",-20.8530361904488,-26.7039374561269
"E8.5_CPC_p2_369",43.8956913877782,-0.859223546449686
"E8.5_CPC_p2_110",-28.5792646616697,-7.48036399046891
"E8.5_CPC_p2_100",-6.17918500431611,-23.8919269689681
"E8.5_CPC_p2_190",-9.56883304006726,-22.8139497909396
"E8.5_CPC_p2_040",17.5159322115342,38.5630781615361
"E8.5_CPC_p2_153",-12.8170103878947,-5.68443170225952
"E8.5_CPC_p2_261",3.70191692399204,-17.6300534537103
"E8.5_CPC_p2_253",43.7957194038226,-3.80413580586926
"E8.5_CPC_p2_233",2.18200890808517,43.7183202540367
"E8.5_CPC_p2_322",-24.4464218202557,5.42845322044765
"E8.5_CPC_p2_222",-34.6694167085338,21.4621662650015
"E8.5_CPC_p2_098",6.80395621948137,-17.3464420571358
"E8.5_CPC_p2_115",-31.0439582406213,-18.4410545416851
"E8.5_CPC_p2_025",-10.3922929063262,-11.9935338035751
"E8.5_CPC_p2_165",39.5570792042359,20.8492015931587
"E8.5_CPC_p2_160",-18.1587673340141,-9.22797171430203
"E8.5_CPC_p2_331",-33.691433020587,20.4050894386201
"E8.5_CPC_p2_335",-27.1215630024279,-7.30851533111385
"E8.5_CPC_p2_082",14.3005733357,13.5466312741936
"E8.5_CPC_p2_215",-12.6211393645314,-19.4048327626709
"E8.5_CPC_p2_024",-12.3101409322868,-21.7775921993183
"E8.5_CPC_p2_059",43.0438332474771,-8.5862995466878
"E8.5_CPC_p2_365",-17.0608216024581,-26.7805072623971
"E8.5_CPC_p2_357",-26.5121997527557,-2.84149378922541
"E8.5_CPC_p2_346",-16.3557373027564,-30.336322639493
"E8.5_CPC_p2_317",-23.9048530905636,-0.123242102740974
"E8.5_CPC_p2_019",-19.614748147759,-9.1945557349935
"E8.5_CPC_p2_173",49.1907240235283,6.3188715665279
"E8.5_CPC_p2_178",-4.95685047815064,-12.8307871793909
"E8.5_CPC_p2_272",41.7048905361384,1.36250404985465
"E8.5_CPC_p2_062",-18.3758456861782,-25.9751224258083
